dt,zo,zd,h,n,days,rate_per_hour
mon_wed,0,0,0,1596,24,66.5
mon_wed,0,0,1,1017,24,42.375
mon_wed,0,0,2,643,24,26.791667
mon_wed,0,0,3,398,24,16.583333
mon_wed,0,0,4,478,24,19.916667
mon_wed,0,0,5,846,24,35.25
mon_wed,0,0,6,1755,24,73.125
mon_wed,0,0,7,3269,24,136.208333
mon_wed,0,0,8,3956,24,164.833333
mon_wed,0,0,9,2888,24,120.333333
mon_wed,0,0,10,2103,24,87.625
mon_wed,0,0,11,2223,24,92.625
mon_wed,0,0,12,2232,24,93.0
mon_wed,0,0,13,2415,24,100.625
mon_wed,0,0,14,3066,24,127.75
mon_wed,0,0,15,3230,24,134.583333
mon_wed,0,0,16,3379,24,140.791667
mon_wed,0,0,17,3646,24,151.916667
mon_wed,0,0,18,3143,24,130.958333
mon_wed,0,0,19,2513,24,104.708333
mon_wed,0,0,20,2370,24,98.75
mon_wed,0,0,21,2209,24,92.041667
mon_wed,0,0,22,2131,24,88.791667
mon_wed,0,0,23,2181,24,90.875
mon_wed,0,1,0,698,24,29.083333
mon_wed,0,1,1,471,24,19.625
mon_wed,0,1,2,286,24,11.916667
mon_wed,0,1,3,205,24,8.541667
mon_wed,0,1,4,254,24,10.583333
mon_wed,0,1,5,271,24,11.291667
mon_wed,0,1,6,721,24,30.041667
mon_wed,0,1,7,1264,24,52.666667
mon_wed,0,1,8,1499,24,62.458333
mon_wed,0,1,9,1211,24,50.458333
mon_wed,0,1,10,889,24,37.041667
mon_wed,0,1,11,905,24,37.708333
mon_wed,0,1,12,798,24,33.25
mon_wed,0,1,13,821,24,34.208333
mon_wed,0,1,14,975,24,40.625
mon_wed,0,1,15,944,24,39.333333
mon_wed,0,1,16,1030,24,42.916667
mon_wed,0,1,17,1088,24,45.333333
mon_wed,0,1,18,1036,24,43.166667
mon_wed,0,1,19,973,24,40.541667
mon_wed,0,1,20,903,24,37.625
mon_wed,0,1,21,946,24,39.416667
mon_wed,0,1,22,988,24,41.166667
mon_wed,0,1,23,979,24,40.791667
mon_wed,0,2,0,1482,24,61.75
mon_wed,0,2,1,967,24,40.291667
mon_wed,0,2,2,611,24,25.458333
mon_wed,0,2,3,571,24,23.791667
mon_wed,0,2,4,558,24,23.25
mon_wed,0,2,5,810,24,33.75
mon_wed,0,2,6,1201,24,50.041667
mon_wed,0,2,7,1894,24,78.916667
mon_wed,0,2,8,2558,24,106.583333
mon_wed,0,2,9,1914,24,79.75
mon_wed,0,2,10,1588,24,66.166667
mon_wed,0,2,11,1702,24,70.916667
mon_wed,0,2,12,1732,24,72.166667
mon_wed,0,2,13,2004,24,83.5
mon_wed,0,2,14,2221,24,92.541667
mon_wed,0,2,15,2489,24,103.708333
mon_wed,0,2,16,2675,24,111.458333
mon_wed,0,2,17,2587,24,107.791667
mon_wed,0,2,18,2273,24,94.708333
mon_wed,0,2,19,2074,24,86.416667
mon_wed,0,2,20,1851,24,77.125
mon_wed,0,2,21,1752,24,73.0
mon_wed,0,2,22,1657,24,69.041667
mon_wed,0,2,23,1865,24,77.708333
mon_wed,0,3,0,495,24,20.625
mon_wed,0,3,1,313,24,13.041667
mon_wed,0,3,2,234,24,9.75
mon_wed,0,3,3,122,24,5.083333
mon_wed,0,3,4,117,24,4.875
mon_wed,0,3,5,208,24,8.666667
mon_wed,0,3,6,391,24,16.291667
mon_wed,0,3,7,690,24,28.75
mon_wed,0,3,8,857,24,35.708333
mon_wed,0,3,9,866,24,36.083333
mon_wed,0,3,10,731,24,30.458333
mon_wed,0,3,11,592,24,24.666667
mon_wed,0,3,12,659,24,27.458333
mon_wed,0,3,13,684,24,28.5
mon_wed,0,3,14,770,24,32.083333
mon_wed,0,3,15,850,24,35.416667
mon_wed,0,3,16,898,24,37.416667
mon_wed,0,3,17,1055,24,43.958333
mon_wed,0,3,18,920,24,38.333333
mon_wed,0,3,19,915,24,38.125
mon_wed,0,3,20,764,24,31.833333
mon_wed,0,3,21,734,24,30.583333
mon_wed,0,3,22,694,24,28.916667
mon_wed,0,3,23,667,24,27.791667
mon_wed,0,4,0,23,24,0.958333
mon_wed,0,4,1,15,24,0.625
mon_wed,0,4,2,12,24,0.5
mon_wed,0,4,3,15,24,0.625
mon_wed,0,4,4,26,24,1.083333
mon_wed,0,4,5,17,24,0.708333
mon_wed,0,4,6,50,24,2.083333
mon_wed,0,4,7,86,24,3.583333
mon_wed,0,4,8,119,24,4.958333
mon_wed,0,4,9,116,24,4.833333
mon_wed,0,4,10,82,24,3.416667
mon_wed,0,4,11,60,24,2.5
mon_wed,0,4,12,74,24,3.083333
mon_wed,0,4,13,52,24,2.166667
mon_wed,0,4,14,50,24,2.083333
mon_wed,0,4,15,58,24,2.416667
mon_wed,0,4,16,86,24,3.583333
mon_wed,0,4,17,44,24,1.833333
mon_wed,0,4,18,48,24,2.0
mon_wed,0,4,19,59,24,2.458333
mon_wed,0,4,20,53,24,2.208333
mon_wed,0,4,21,41,24,1.708333
mon_wed,0,4,22,39,24,1.625
mon_wed,0,4,23,25,24,1.041667
mon_wed,0,5,0,54,24,2.25
mon_wed,0,5,1,20,24,0.833333
mon_wed,0,5,2,17,24,0.708333
mon_wed,0,5,3,25,24,1.041667
mon_wed,0,5,4,54,24,2.25
mon_wed,0,5,5,209,24,8.708333
mon_wed,0,5,6,185,24,7.708333
mon_wed,0,5,7,207,24,8.625
mon_wed,0,5,8,249,24,10.375
mon_wed,0,5,9,266,24,11.083333
mon_wed,0,5,10,236,24,9.833333
mon_wed,0,5,11,204,24,8.5
mon_wed,0,5,12,174,24,7.25
mon_wed,0,5,13,192,24,8.0
mon_wed,0,5,14,152,24,6.333333
mon_wed,0,5,15,123,24,5.125
mon_wed,0,5,16,127,24,5.291667
mon_wed,0,5,17,109,24,4.541667
mon_wed,0,5,18,106,24,4.416667
mon_wed,0,5,19,84,24,3.5
mon_wed,0,5,20,85,24,3.541667
mon_wed,0,5,21,93,24,3.875
mon_wed,0,5,22,107,24,4.458333
mon_wed,0,5,23,80,24,3.333333
mon_wed,0,6,0,53,24,2.208333
mon_wed,0,6,1,35,24,1.458333
mon_wed,0,6,2,17,24,0.708333
mon_wed,0,6,3,41,24,1.708333
mon_wed,0,6,4,27,24,1.125
mon_wed,0,6,5,110,24,4.583333
mon_wed,0,6,6,164,24,6.833333
mon_wed,0,6,7,210,24,8.75
mon_wed,0,6,8,257,24,10.708333
mon_wed,0,6,9,179,24,7.458333
mon_wed,0,6,10,159,24,6.625
mon_wed,0,6,11,108,24,4.5
mon_wed,0,6,12,134,24,5.583333
mon_wed,0,6,13,127,24,5.291667
mon_wed,0,6,14,118,24,4.916667
mon_wed,0,6,15,116,24,4.833333
mon_wed,0,6,16,88,24,3.666667
mon_wed,0,6,17,87,24,3.625
mon_wed,0,6,18,121,24,5.041667
mon_wed,0,6,19,125,24,5.208333
mon_wed,0,6,20,72,24,3.0
mon_wed,0,6,21,73,24,3.041667
mon_wed,0,6,22,80,24,3.333333
mon_wed,0,6,23,105,24,4.375
mon_wed,0,7,0,14,24,0.583333
mon_wed,0,7,1,8,24,0.333333
mon_wed,0,7,2,5,24,0.208333
mon_wed,0,7,3,2,24,0.083333
mon_wed,0,7,4,7,24,0.291667
mon_wed,0,7,5,20,24,0.833333
mon_wed,0,7,6,16,24,0.666667
mon_wed,0,7,7,20,24,0.833333
mon_wed,0,7,8,26,24,1.083333
mon_wed,0,7,9,26,24,1.083333
mon_wed,0,7,10,20,24,0.833333
mon_wed,0,7,11,21,24,0.875
mon_wed,0,7,12,24,24,1.0
mon_wed,0,7,13,23,24,0.958333
mon_wed,0,7,14,22,24,0.916667
mon_wed,0,7,15,15,24,0.625
mon_wed,0,7,16,12,24,0.5
mon_wed,0,7,17,8,24,0.333333
mon_wed,0,7,18,13,24,0.541667
mon_wed,0,7,19,23,24,0.958333
mon_wed,0,7,20,27,24,1.125
mon_wed,0,7,21,22,24,0.916667
mon_wed,0,7,22,39,24,1.625
mon_wed,0,7,23,21,24,0.875
mon_wed,0,8,0,77,24,3.208333
mon_wed,0,8,1,38,24,1.583333
mon_wed,0,8,2,30,24,1.25
mon_wed,0,8,3,64,24,2.666667
mon_wed,0,8,4,108,24,4.5
mon_wed,0,8,5,116,24,4.833333
mon_wed,0,8,6,120,24,5.0
mon_wed,0,8,7,132,24,5.5
mon_wed,0,8,8,179,24,7.458333
mon_wed,0,8,9,129,24,5.375
mon_wed,0,8,10,97,24,4.041667
mon_wed,0,8,11,133,24,5.541667
