zo,zd,n,distance_m,crow_m,rung
0,0,144490,2119,0,measured
0,1,59127,4185,3516,measured
0,2,111137,3371,2877,measured
0,3,41919,3571,4254,measured
0,4,2802,10227,8580,measured
0,5,8287,8733,8133,measured
0,6,7107,8406,8030,measured
0,7,1135,17470,11002,measured
0,8,8708,7831,6768,measured
0,9,9446,7567,7580,measured
0,10,2144,14919,10648,measured
0,11,12565,6591,6137,measured
0,12,11987,6760,5995,measured
0,13,1060,21237,11783,measured
0,14,2855,13644,9616,measured
0,15,2734,19001,12336,measured
0,16,121,11700,8798,measured
0,17,65409,3605,3934,measured
0,18,3419,8107,6492,measured
0,19,1306,6950,6997,measured
1,0,56888,4185,3516,measured
1,1,362037,2282,0,measured
1,2,25186,7105,6232,measured
1,3,20060,6260,5164,measured
1,4,2775,12451,9550,measured
1,5,45006,5957,5218,measured
1,6,31107,6925,5802,measured
1,7,1743,18304,11195,measured
1,8,123774,3906,3385,measured
1,9,15738,9229,7409,measured
1,10,1825,18536,12236,measured
1,11,5995,9201,8173,measured
1,12,70241,3872,3330,measured
1,13,2794,16866,11087,measured
1,14,8045,12106,8357,measured
1,15,1899,23090,13165,measured
1,16,124,15480,11376,measured
1,17,115146,3793,3269,measured
1,18,58164,3070,3048,measured
1,19,5423,7000,5891,measured
2,0,110027,3381,2877,measured
2,1,25942,7006,6232,measured
2,2,306157,2510,0,measured
2,3,53845,4524,4312,measured
2,4,5285,9641,7524,measured
2,5,5729,12532,10157,measured
2,6,5242,12241,9571,measured
2,7,2064,17041,10386,measured
2,8,3957,11158,9578,measured
2,9,16376,7190,7648,measured
2,10,5535,12517,8872,measured
2,11,38387,4945,4406,measured
2,12,7232,9804,8035,measured
2,13,1796,22256,11839,measured
2,14,2225,20171,10290,measured
2,15,5499,16686,11102,measured
2,16,245,9524,6289,measured
2,17,43301,6237,5353,measured
2,18,1621,11188,9027,measured
2,19,1078,9369,7880,measured
3,0,42072,3567,4254,measured
3,1,20691,6222,5164,measured
